,0,0,0
1,8269797.93994,8308403.89019,38605.9502478
2,8383995.36658,8322623.69855,-61371.6680286
3,8353932.71494,8312063.64854,-41869.0663956
4,8272150.40949,8302545.15984,30394.7503491
5,8335660.62083,8300047.81473,-35612.8060986
6,8251892.47463,8291279.11757,39386.6429412
7,8308779.22094,8295609.38601,-13169.8349341
8,8254602.6196,8291592.24322,36989.6236189
9,8286058.24256,8280801.64922,-5256.59334271
10,8382121.76863,8297309.56656,-84812.2020668
11,8275803.59247,8308811.53617,33007.9437037
12,8422150.94751,8315018.19522,-107132.752289
13,8455416.12817,8326246.41788,-129169.710291
14,8343462.39419,8325944.6777,-17517.7164919
15,8308084.91727,8327669.6953,19584.7780227
16,8321413.20096,8328841.93757,7428.7366047
17,8269761.87462,8345970.37258,76208.4979619
18,8212616.43023,8327394.27975,114777.849518
19,8285060.92619,8336880.38383,51819.4576336
20,8344568.73942,8340561.21272,-4007.52670259
21,8507003.34651,8324208.81626,-182794.53025
22,8381122.35175,8338133.99601,-42988.3557402
23,8296233.76255,8332368.48221,36134.7196605
24,8310161.89287,8328226.0506,18064.1577252
25,8383136.92359,8343940.39261,-39196.5309765
26,8243680.65064,8323467.41364,79786.7629971
27,8077998.99679,8331602.68833,253603.691536
28,8258321.43361,8336118.2015,77796.7678832
29,8349867.53579,8349456.3712,-411.164596482
30,8338266.17206,8364691.01364,26424.8415833
31,8324125.77804,8363714.13622,39588.3581829
32,8486197.02799,8384896.33096,-101300.697028
33,8439111.70334,8389940.26533,-49171.4380162
34,8328081.3715,8391878.16304,63796.7915386
35,8463698.21323,8404220.18826,-59478.0249633
36,8504258.95045,8412860.13327,-91398.8171871
37,8572971.04478,8427734.99775,-145236.047029
38,8373160.03883,8421267.71237,48107.6735479
39,8442145.05467,8418734.64643,-23410.4082417
40,8519369.26264,8437338.30761,-82030.9550207
41,8365552.19496,8451414.46864,85862.2736798
42,8455081.62031,8452552.2536,-2529.36671662
43,8477554.81314,8454900.77649,-22654.0366425
44,8471121.29728,8447104.21089,-24017.0863961
45,8515370.17531,8458529.66266,-56840.5126524
46,8467288.95017,8467755.65332,466.703159027
47,8524725.23751,8482878.94499,-41846.2925191
48,8613793.58925,8498832.85379,-114960.735462
49,8447082.26706,8499403.43566,52321.168602
50,8436009.83209,8471744.91313,35735.0810439
51,8463184.06479,8465866.89681,2682.83201744
52,8590303.83738,8462843.5956,-127460.241772
53,8505050.44369,8474951.54825,-30098.8954387
54,8438047.55921,8466307.60543,28260.0462216
55,8487662.98023,8471764.46836,-15898.5118686
56,8454919.82243,8467142.8423,12223.0198664
57,8762372.1647,8497198.05186,-265174.112844
58,8432061.92755,8488515.80603,56453.8784791
59,8503249.22169,8497403.90823,-5845.31346422
60,8461054.08805,8484485.06146,23430.9734135
61,8464993.01633,8488456.9423,23463.9259648
62,8527566.29177,8470262.96865,-57303.3231209
63,8499053.20727,8477039.77069,-22013.4365817
64,8389576.34232,8470758.27686,81181.9345389
65,8478947.21986,8467564.87477,-11382.3450866
66,8392139.64343,8459992.78821,67853.1447802
67,8507567.31342,8480822.97166,-26744.3417627
68,8500500.29196,8468936.66902,-31563.622938
69,8488198.71382,8478039.87314,-10158.8406826
70,8411830.96178,8462748.35334,50917.3915637
71,8467157.52898,8465568.0232,-1589.50578794
72,8496619.14551,8460373.18358,-36245.961924
73,8519388.84391,8462797.73784,-56591.1060748
74,8435726.74441,8454875.81612,19149.0717089
75,8485143.36305,8469660.62699,-15482.7360537
76,8514815.90818,8462653.58453,-52162.3236507
77,8501307.33988,8465840.50393,-35466.8359444
78,8439920.33076,8452060.09586,12139.7651081
79,8468029.09505,8473275.72081,5246.62576681
80,8571056.22002,8474752.38129,-96303.8387311
81,8465751.62325,8467921.10552,2169.48226752
82,8428635.04499,8483359.93538,54724.8903903
83,8450694.9168,8487702.48447,37007.5676713
84,8531241.08293,8489372.76568,-41868.3172561
85,8522622.19578,8473787.66988,-48834.5259094
86,8540613.36913,8500981.79735,-39631.5717832
87,8695139.13347,8494065.27309,-201073.860386
88,8472921.82852,8496849.33109,23927.5025691
89,8498101.08497,8485441.32988,-12659.7550891
90,8461570.60705,8483235.09279,21664.4857369
