,0,0,0
1,16207708.8865,16281259.9268,73551.0403776
2,16240246.9904,16282343.3507,42096.3603039
3,16264422.7877,16268356.8174,3934.02967866
4,16254348.4721,16267753.1917,13404.7195534
5,16498265.9073,16275158.3146,-223107.592658
6,16274559.533,16275184.9312,625.398184445
7,16241851.8199,16269440.4589,27588.6389518
8,16192667.1825,16266114.3002,73447.1176851
9,16285029.6677,16286424.7354,1395.06772974
10,16213614.2018,16266086.9044,52472.7026189
11,16470795.1975,16278281.6045,-192513.592971
12,16300425.4772,16283026.5326,-17398.9445817
13,16136126.9026,16284257.5773,148130.674712
14,16244146.4775,16281249.3254,37102.847899
15,16243564.3678,16273411.5301,29847.1623056
16,16336035.1504,16273946.9613,-62088.1891245
17,16302862.9071,16279709.2849,-23153.6221263
18,16177106.5389,16255517.3289,78410.7900518
19,16149513.0716,16225437.9898,75924.9182149
20,16191245.8506,16228525.2216,37279.3709637
21,16147275.1506,16229397.525,82122.3743895
22,16304128.3608,16236137.5793,-67990.7815307
23,16272738.3467,16233327.2558,-39411.0908575
24,16241661.0883,16214373.995,-27287.0932914
25,15995736.2288,16182357.8583,186621.629518
26,16243311.0893,16194817.1162,-48493.9730502
27,16249122.3966,16185899.8017,-63222.5948531
28,16110242.2947,16170821.9233,60579.6286061
29,16070868.0905,16168487.0797,97618.9892231
30,16124813.3671,16162441.452,37628.0849561
31,16145571.7832,16163888.1258,18316.3425847
32,16171999.6304,16176329.3095,4329.67913106
33,16093878.9462,16171825.635,77946.6887394
34,16088432.1702,16135574.148,47141.9778334
35,15986588.2182,16105444.6482,118856.430003
36,16097422.2868,16085156.6516,-12265.6351737
37,16099409.6155,16087498.9969,-11910.6186081
38,16171261.4186,16115055.1253,-56206.2933334
39,16098947.0686,16116698.922,17751.8533702
40,16096090.8158,16121895.2483,25804.4324493
41,16065608.9993,16096743.1232,31134.1239218
42,16160034.3214,16058218.2165,-101816.104972
43,16043026.4549,16046921.6905,3895.23560716
44,16038051.1753,16066190.808,28139.6326662
45,15942257.8423,16073929.6479,131671.805559
46,16100460.9975,16062392.1781,-38068.8193786
47,16078588.2131,16061708.0541,-16880.1590086
48,15975168.8223,16043829.6064,68660.7841802
49,16037223.5921,16036331.8664,-891.725679254
50,15831639.0001,16025086.387,193447.386904
51,15984129.1901,16013235.0142,29105.8241163
52,16101475.5786,16028559.521,-72916.0576013
53,16096402.7738,16043287.1661,-53115.6076412
54,16123970.4205,16057280.2649,-66690.1555847
55,15915748.1425,16045276.4151,129528.2726
56,16073799.5824,16057232.9918,-16566.590673
57,16008837.5372,16063268.4927,54430.9555085
58,16172889.0903,16068190.549,-104698.541304
59,16060345.5217,16064861.5954,4516.07363813
60,16162592.0516,16075904.3767,-86687.6749102
61,15999910.8335,16086276.3777,86365.5441947
62,15951122.756,16050470.0299,99347.2739337
63,16066644.9044,16088517.6886,21872.7842634
64,16109120.2013,16094382.2954,-14737.9058961
65,16125492.2108,16105116.7381,-20375.4727049
66,16125343.6844,16112447.2554,-12896.4290729
67,16147819.5658,16118007.8721,-29811.6936842
68,16102647.4403,16116141.8664,13494.4260447
69,16091215.3616,16098444.4807,7229.11907262
70,16078844.1457,16091568.6047,12724.4590141
71,16055796.6393,16097097.4934,41300.8541741
72,16026877.0199,16078609.0423,51732.022412
73,16130312.9452,16081100.8589,-49212.0863056
74,16005526.2747,16063528.5064,58002.2317083
75,16013027.0952,16049734.1104,36707.0151835
76,15987867.3182,16048339.0607,60471.7424535
77,16154129.0971,16046461.0793,-107668.01783
78,15900229.3729,16022858.2521,122628.879241
79,15968179.3067,16014681.9473,46502.6406564
80,15938072.2236,16009621.2779,71549.0543413
81,16073190.0511,16016413.2916,-56776.7594753
82,16009144.2239,16007622.8505,-1521.37338437
83,15971580.7739,15999919.8066,28339.0326918
84,15939120.6781,15975130.5397,36009.8616329
85,16032920.5598,15973751.936,-59168.6237465
86,16043582.1986,16001722.2026,-41859.9959517
87,15962313.811,16014145.9987,51832.1877487
88,16044863.553,16013840.0026,-31023.5503927
89,15923878.8114,15990945.0419,67066.2305349
90,16006338.8296,15996893.8806,-9444.9489858
